date,forecast
2022-01-01,594.22922435998
2022-01-02,578.0460782012742
2022-01-03,946.2414758238276
2022-01-04,1041.454405585391
2022-01-05,1026.648723281615
2022-01-06,1224.7363570034925
2022-01-07,1093.2053637959157
2022-01-08,764.2908718458133
2022-01-09,737.3119271673472
2022-01-10,1092.3866089368403
2022-01-11,1172.6068125480333
2022-01-12,1141.424343901449
2022-01-13,1322.258105917072
2022-01-14,1173.10607763182
2022-01-15,826.7006308918301
2022-01-16,782.8306879143182
2022-01-17,1122.0435262385263
2022-01-18,1187.8080174812349
2022-01-19,1143.8912642909359
2022-01-20,1313.9586620669534
2022-01-21,1156.1812496274272
2022-01-22,803.3889722496542
2022-01-23,755.393352458689
2022-01-24,1092.6922828389934
2022-01-25,1158.6385552690265
2022-01-26,1116.8238462738452
2022-01-27,1290.687877161967
2022-01-28,1138.1362531355212
2022-01-29,791.7052056912482
2022-01-30,750.8963092676447
2022-01-31,1095.8934513039464
2022-02-01,1169.7432389692276
2022-02-02,1135.750149564882
2022-02-03,1317.095762522744
2022-02-04,1171.4652409358614
2022-02-05,831.219005846944
2022-02-06,795.7324572923843
2022-02-07,1145.1158761171528
2022-02-08,1222.3956126515532
2022-02-09,1190.9078862500692
2022-02-10,1373.9146029133062
2022-02-11,1229.224518179445
2022-02-12,889.3579072340397
2022-02-13,853.8778747054008
2022-02-14,1203.1007640549806
2022-02-15,1280.2671427374814
2022-02-16,1248.9250640194482
2022-02-17,1432.535424001735
2022-02-18,1289.083131879217
2022-02-19,951.2326367434978
2022-02-20,918.6512938978414
2022-02-21,1271.7133393530476
2022-02-22,1353.666204958186
2022-02-23,1328.0110699030251
2022-02-24,1518.1075936655957
2022-02-25,1381.7866020168326
2022-02-26,1051.5092477949022
2022-02-27,1026.696032981827
2022-02-28,1387.4382923082608
2022-03-01,1476.6736354839197
2022-03-02,1457.5769492117015
2022-03-03,1653.1765594894616
2022-03-04,1520.978942641274
2022-03-05,1193.1400974400756
2022-03-06,1168.806542881712
2022-03-07,1527.8381211887931
2022-03-08,1612.9936979336273
2022-03-09,1587.3309842860822
2022-03-10,1773.8297476500165
2022-03-11,1630.0215183433895
2022-03-12,1288.1636872913746
2022-03-13,1247.5808131820772
2022-03-14,1588.385249615232
2022-03-15,1653.6582015926456
2022-03-16,1606.842497173975
2022-03-17,1771.3565744519972
2022-03-18,1605.2129745852524
2022-03-19,1241.1795806019684
2022-03-20,1179.1067860293379
2022-03-21,1499.6331230983997
